"time","H_pump","H0","H_static","I_motor","J_motor","K_eff","K_pump","L_s","P_shaft","Q_flow","Q_max","R_r","R_s","T_em","T_load","T_max","V_supply","Z_total","der(omega)","efficiency","erosion","eta_pump","extra_friction","f_supply","g","gas_ramp","gas_severity","omega","omega_rated","omega_sync","p","rho","rho_eff","s_max","slip","speed_ratio","t_gas_lock","vibration_rms"
2.2,40,80,40,14.73181010466422,0.3,0.00127,0.00127,0.18,8834.930123716542,0.003028111024621838,0.022,0.16,1,60.14569626340699,28.137633260021552,80,1000,67.880321080394,106.69354334461813,0.31892923315573474,0,0.7,0,60,9.81,0,0.85,146.8921414597002,188.5,188.49555921538757,2,850,850,0.1,0.22071298617782567,0.7792686549586219,100,0.0389634327479311
2.3,40,80,40,14.730083487718318,0.3,0.00127,0.00127,0.18,11483.813775311195,0.005466152171514911,0.022,0.16,1,72.3396301096406,32.799155926458596,80,1000,67.88827781144501,131.80158061060666,0.3097028430202505,0,0.7,0,60,9.81,0,0.85,158.74858300914596,188.5,188.49555921538757,2,850,850,0.1,0.15781261017534495,0.8421675491201377,100,0.04210837745600689
2.4,40,80,40,14.723039820695718,0.3,0.00127,0.00127,0.18,13602.716183127814,0.008150175418194471,0.022,0.16,1,78.76359170397224,38.742992123903036,80,1000,67.92075632331927,133.40199860023068,0.3366483558602089,0,0.7,0,60,9.81,0,0.85,172.70309655573763,188.5,188.49555921538757,2,850,850,0.1,0.08378161652924897,0.9161967987041784,100,0.04580983993520892
2.5,40,80,40,14.694048091921683,0.3,0.00127,0.00127,0.18,9706.281250264587,0.009714984620819711,0.022,0.16,1,53.55002608710755,42.63068068688078,80,1000,68.05476569453778,36.39781800075589,0.5454167151108072,0,0.7,0,60,9.81,0,0.85,181.25633093951797,188.5,188.49555921538757,2,850,850,0.1,0.038405298809175564,0.9615720474244985,100,0.04807860237122493
2.6,40,80,40,14.674241232924249,0.3,0.00127,0.00127,0.18,8140.360611000625,0.009985119487288266,0.022,0.16,1,44.540550371294884,43.33471189292133,80,1000,68.14662401462527,4.019461594578526,0.6666874991789102,0,0.7,0,60,9.81,0,0.85,182.76291027258736,188.5,188.49555921538757,2,850,850,0.1,0.03041264720857272,0.9695645107299065,100,0.04847822553649533
2.7,40,80,40,14.671294132987287,0.3,0.00127,0.00127,0.18,7961.656755549771,0.01001302218129739,0.022,0.16,1,43.52558106632976,43.40799362069592,80,1000,68.16031298504038,0.3919581521127924,0.6833999277195125,0,0.7,0,60,9.81,0,0.85,182.9190228021723,188.5,188.49555921538757,2,850,850,0.1,0.029584444516505336,0.9703926939107284,100,0.04851963469553642
2.8,40,80,40,14.670996144710314,0.3,0.00127,0.00127,0.18,7944.182570432768,0.010015724679850242,0.022,0.16,1,43.42646062331377,43.415096873666506,80,1000,68.16169741551967,0.03787916549088759,0.685073060684697,0,0.7,0,60,9.81,0,0.85,182.93414789986093,188.5,188.49555921538757,2,850,850,0.1,0.029504203381108846,0.9704729331557609,100,0.04852364665778805
2.9,40,80,40,14.670967381551112,0.3,0.00127,0.00127,0.18,7942.501466406454,0.01001598443560348,0.022,0.16,1,43.41692591056042,43.41577966831301,80,1000,68.16183104990813,0.0038208074913844334,0.6852343996688312,0,0.7,0,60,9.81,0,0.85,182.93560172288883,188.5,188.49555921538757,2,850,850,0.1,0.0294964906103998,0.9704806457447683,100,0.04852403228723842
3,40,80,40,14.670964564536456,0.3,0.00127,0.00127,0.18,7942.336874607055,0.010016009865260191,0.022,0.16,1,43.415992406757304,43.415846513265336,80,1000,68.16184413785993,4.8631163989417325e-4,0.6852501994283485,0,0.7,0,60,9.81,0,0.85,182.93574405017867,188.5,188.49555921538757,2,850,850,0.1,0.029495735540675992,0.9704814007967039,100,0.04852407003983519
3.1,40,80,40,14.670964279629583,0.3,0.00127,0.00127,0.18,7942.320228665254,0.010016012437058566,0.022,0.16,1,43.41589799724223,43.415853273555726,80,1000,68.16184546154783,1.4907895502365895e-4,0.6852517973674936,0,0.7,0,60,9.81,0,0.85,182.93575844428574,188.5,188.49555921538757,2,850,850,0.1,0.029495659177566278,0.9704814771580146,100,0.04852407385790073
