"time","H_pump","H0","H_static","I_motor","J_motor","K_eff","K_pump","L_s","P_shaft","Q_flow","Q_max","R_r","R_s","T_em","T_load","T_max","V_supply","Z_total","der(omega)","efficiency","erosion","eta_pump","extra_friction","f_supply","g","gas_ramp","gas_severity","omega","omega_rated","omega_sync","p","rho","rho_eff","s_max","slip","speed_ratio","t_gas_lock","vibration_rms"
219.5,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
219.6,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
219.7,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
219.8,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
219.9,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
220,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
220.1,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
220.2,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
220.3,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
220.4,40,80,40,14.623246451247594,0.3,9.36625e-4,0.00127,0.18,6048.231098449386,0.0079721940835919,0.022,0.16,1,32.789716173542786,32.78971617354289,80,1000,68.38426770238043,-3.552713678800501e-13,0.6803111157253319,0.75,0.7,0,60,9.81,0,0,184.45512204004848,188.5,188.49555921538757,2,850,850,0.1,0.021435184956915727,0.9785417614856683,9999,0.4989270880742834
